#ID	start_group[0-10]	arrival_time_s_after_start
M2164	2	1431.0
P2472	1	1432.0
P1907	2	1432.0
M2081	2	1432.0
M4180	2	1432.0
M3295	2	1433.0
M3683	3	1433.0
M3729	3	1433.0
M4799	2	1433.0
M2193	2	1433.0
M2273	2	1434.0
M2107	2	1434.0
M6371	2	1434.0
M3665	2	1434.0
M2118	2	1434.0
M3991	2	1435.0
M3289	2	1435.0
M10178	3	1435.0
M3695	3	1436.0
M3318	2	1436.0
M2216	2	1437.0
M2119	2	1437.0
M2018	2	1437.0
M2210	2	1438.0
P1212	2	1438.0
P1032	2	1438.0
P1256	3	1438.0
P2288	2	1438.0
M2218	2	1439.0
M5262	2	1439.0
M2219	2	1439.0
M2279	2	1440.0
M2159	2	1440.0
P2540	1	1440.0
M2070	2	1440.0
M2225	2	1441.0
M1199	1	1441.0
P1063	2	1442.0
M2177	2	1442.0
M3614	3	1442.0
P2513	2	1442.0
M2145	2	1442.0
M2038	2	1442.0
M2168	2	1443.0
M3041	3	1443.0
P2735	2	1444.0
F2001	2	1444.0
M3990	2	1444.0
M3881	2	1444.0
M3789	2	1444.0
M2092	2	1445.0
M3112	3	1445.0
M1071	1	1445.0
M2191	2	1446.0
M3379	2	1446.0
M3390	2	1446.0
M2162	2	1446.0
P3007	2	1446.0
M3717	3	1447.0
M2391	2	1447.0
M2172	2	1447.0
M3219	2	1447.0
M3251	2	1447.0
M2353	2	1448.0
M3459	2	1448.0
M3869	2	1448.0
M5243	3	1448.0
M5209	2	1448.0
M10720	2	1449.0
M13216	2	1450.0
M3267	3	1451.0
M2287	2	1452.0
M2060	2	1452.0
M3128	3	1453.0
M3209	2	1453.0
P1680	2	1453.0
M3519	3	1453.0
M2126	2	1453.0
M2277	2	1453.0
M3793	2	1454.0
M13359	2	1454.0
P1033	2	1455.0
P2867	2	1455.0
M2303	2	1455.0
P2224	3	1455.0
M3127	3	1455.0
M3374	2	1456.0
M12518	2	1456.0
M2351	2	1456.0
M3830	2	1457.0
P1741	3	1457.0
M5257	3	1457.0
P2952	2	1457.0
M2151	2	1458.0
M1005	1	1458.0
M2056	2	1458.0
M3279	2	1459.0
P1120	2	1461.0
P1581	2	1461.0
M2388	2	1461.0
P1008	1	1461.0
M5217	2	1462.0
M3327	2	1462.0
M3440	2	1462.0
M3822	2	1463.0
M3906	3	1464.0
M12443	2	1465.0
M3296	2	1465.0
M2169	2	1465.0
M1040	1	1465.0
M1101	1	1465.0
M2341	2	1466.0
M2163	2	1466.0
M2294	2	1467.0
M3580	3	1467.0
P2029	2	1468.0
M11040	2	1468.0
P1900	2	1469.0
M3427	3	1469.0
P1433	2	1469.0
M2327	2	1469.0
M2328	2	1470.0
M4192	2	1470.0
M2138	2	1470.0
M4784	3	1471.0
M2183	2	1471.0
M5261	2	1471.0
M2072	2	1472.0
M3979	3	1472.0
P1804	2	1473.0
M1019	1	1474.0
M2364	2	1475.0
M2271	2	1475.0
M3669	3	1475.0
M2146	2	1475.0
M3571	3	1475.0
M2130	2	1476.0
M2158	2	1476.0
M10057	2	1477.0
M12456	2	1477.0
M2147	2	1477.0
